index,Sek_1,Sek_2,Sek_3,Sek_4,Sek_5,Sek_6,Sek_7,Sek_8,Sek_9,Sek_10,Sek_11,Sek_12,Sek_13,Sek_14,Sek_15,Sek_16,Sek_17,Sek_18,Sek_19,Sek_20,Sek_21,Sek_22,Sek_23,Sek_24,Sek_25,Sek_26,Sek_27,Sek_28,Sek_29,Sek_30,Sek_31,Sek_32,Sek_33,Sek_34,Sek_35,Sek_36,Sek_37,Sek_38,Sek_39,Sek_40,Sek_41,Sek_42,Sek_43,Sek_44,Sek_45,Sek_46,Sek_47,Sek_48,Sek_49,Sek_50,Sek_51,Sek_52,Sek_53,Sek_54,Sek_55,Sek_56,Sek_57,Sek_58,Sek_59,Sek_60,Sek_61,Sek_62,Sek_63,Sek_64,Toplam Uretim,Ä°thalat,Toplam Arz
Urun_32,0.00,0.00,0.00,40821.60,0.00,0.00,0.00,0.00,0.00,57230.94,0.00,0.00,0.00,15775.46,0.00,74.01,0.00,0.00,0.00,0.00,15177.44,0.00,0.00,0.00,0.00,0.00,365.32,0.00,326803.57,0.00,990639.81,14801834.72,19760.98,2491207.07,0.00,12512.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,158.95,0.00,14290.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3714.26,0.00,0.00,18790366.75,137233.07,18927599.83
Urun_33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3805.52,0.00,0.00,0.00,0.00,0.00,31921.07,0.00,1482.83,0.00,21936943.07,182334.43,189588.21,5.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8430.19,5263.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22359773.56,566052.46,22925826.02
Urun_34,0.00,0.00,0.00,30541.48,8462.62,9166.67,0.00,0.00,0.00,13689.55,16405.27,0.00,0.00,9960.24,15926.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,328.43,3148.57,23548.67,62821.35,85270.35,21305.29,1907415.30,251261.39,50656.24,21570749.66,241040.57,1049.24,0.00,0.00,0.00,15661.61,0.00,0.00,0.00,207412.06,0.00,752.04,0.00,0.00,0.00,0.00,0.00,0.00,932.74,3717.50,1601900.72,0.00,0.00,0.00,210.66,0.00,0.00,0.00,0.00,0.00,26153334.23,3787837.08,29941171.31
Urun_35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,71501.25,0.00,0.00,454.72,7431845.66,4734.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.91,0.00,0.00,0.00,0.00,0.00,0.00,313.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7508911.48,75655.32,7584566.80
Urun_36,0.00,24067.02,0.00,20981.79,20887.41,205.14,0.00,0.00,0.00,3009.56,1239.50,0.00,0.00,55585.17,604.09,1387.03,0.00,0.00,1951.09,537.42,0.00,0.00,0.00,0.00,0.00,538.25,63386.15,0.00,5391.20,710029.54,10711.08,32449.75,0.00,2143.32,0.00,82729892.72,0.00,4997.49,65.12,22815.17,115.31,0.00,0.00,77906.96,0.00,1881.24,432.41,0.00,0.00,0.00,5.28,0.00,22523.36,9555.11,1335809.28,80787.41,1776.56,33035.04,19765.54,125244.60,0.00,0.00,256.27,0.00,85421969.35,1446910.07,86868879.43
Urun_37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.56,0.00,0.00,0.00,0.00,0.00,0.00,21.27,0.00,1194.19,0.00,0.00,0.00,0.00,8589.31,0.00,0.00,0.00,273.85,0.00,234799.02,538.14,0.00,0.00,0.00,0.00,0.00,0.00,5128083.55,0.00,0.00,116828.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3555.42,9.53,0.00,0.00,0.00,3632.84,2422700.01,43.86,0.00,0.00,76282.68,0.00,0.00,0.00,0.00,0.00,7996569.68,771887.56,8768457.24
Urun_38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,551.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28819.77,3106.71,0.00,0.00,0.00,0.00,0.00,226.06,0.00,8816875.94,0.00,2229.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,626778.43,0.00,0.00,0.00,0.00,478.36,0.00,0.00,0.00,0.00,4461.33,7469.23,0.00,0.00,0.00,0.00,9490997.25,1415358.12,10906355.37
Urun_39,0.00,0.00,0.00,69.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,317002.50,0.00,4423.58,795084.53,0.00,0.00,0.00,0.00,0.00,69.76,12350.95,7817.39,31484592.61,42779.70,0.00,0.00,0.00,0.00,0.00,0.00,2110.43,0.00,0.00,0.00,0.00,0.00,0.00,1353.01,0.00,0.00,0.00,0.00,4781.13,0.00,0.00,0.00,0.00,0.00,32672435.26,204685.15,32877120.41
Urun_40,0.00,0.00,0.00,8572.21,15245.12,25528.71,5091.53,9715.83,125914.00,0.00,33079.92,58033.96,8494.22,23278.24,40740.73,6567.64,93004.45,23974.62,10652.39,41819.68,36091.84,9260.92,3937.10,28596.36,0.00,0.00,106304.98,6121.75,1225223.33,135412.29,16293.52,22897.55,16475.98,40419.28,20630.55,6352.22,92674.13,37109.65,745201.61,13580243.31,271301.99,25447.23,57133.43,1954.71,0.00,526500.06,41789.04,18480.71,29405.88,6371.20,0.00,16726.83,13762.83,35344.74,428501.86,156248.84,131609.27,0.00,6636.01,0.00,0.00,34203.42,3320.86,0.00,18463698.53,43451.31,18507149.83
Urun_41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55064655.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55064655.96,2117771.51,57182427.47
Urun_42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10620490.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10620490.51,1088075.96,11708566.47
Urun_43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,189000.00,0.00,7568027.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3492.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7760520.13,82951.23,7843471.35
Urun_44,0.00,0.00,0.00,2868.22,4428.18,10955.91,11861.46,637.40,225.75,250.81,1873.64,690.21,1213.15,2805.18,3007.97,1872.39,555.21,616.86,992.35,919.97,222.05,1000.93,79.40,0.65,0.00,0.29,786335.65,8704.08,121651.40,78358.42,0.00,3319.78,1.13,71682.71,0.00,46300.29,5476.99,3793.54,0.00,67.07,159.25,22627.34,960.36,79106349.58,0.00,6764.88,657.46,0.00,1.75,23.77,22.89,27.30,2839.73,30705.59,3402712.67,312.93,2616.14,0.00,1613.15,209.39,1242841.20,0.00,106.00,0.00,84994320.45,0.00,84994320.45
Urun_45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87465958.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87465958.71,0.00,87465958.71
Urun_46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,46.65,0.00,14394.56,0.00,0.00,0.00,0.00,8659.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,546702.04,24309.68,0.00,521.60,0.00,33909.02,0.00,4829.07,0.00,3215.74,116554.99,0.00,0.00,0.00,0.00,50591.52,0.00,22902371.52,2249.89,0.00,6694.96,0.00,0.00,89444.93,2182.48,245.42,5074.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23811998.16,242357.86,24054356.01
Urun_47,0.00,152.18,0.00,237.36,0.00,0.00,0.00,0.00,5264.28,759.96,7509.15,0.00,0.00,0.00,0.00,54798.13,749.60,8579.76,4688.41,0.00,0.00,0.00,19111.01,0.00,0.00,499.85,133665.81,4790.44,676976.33,76077.79,3199.33,0.00,13.61,54323.72,0.00,1039.63,1011.38,0.00,6307.73,41035.17,0.00,0.00,0.00,23861.34,0.00,13236.65,12240031.94,10421.31,0.00,0.00,0.00,0.00,0.00,9056.37,566384.49,0.00,6664.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13970447.67,478165.01,14448612.67
Urun_48,0.00,0.00,0.00,15810.65,86291.91,98849.05,2994.21,5265.78,3290.19,29131.12,190735.13,173819.96,90913.60,71928.59,54960.26,174872.46,181934.54,304352.63,273610.63,715940.02,324745.82,46700.70,18663.18,22343.66,759.44,4751.60,38465.36,2964.12,110144.11,29122.81,10225.17,27.10,0.00,5379.25,639.14,440.87,19521.15,1533.41,287086.59,1034127.78,75215.93,10623.89,1098.96,0.00,0.00,17119.88,609987.59,802653.87,6385.50,5797.54,642.72,397.56,230.31,1183.43,1212079.96,4929605.69,11224.00,0.00,285.33,690.06,0.00,1072.14,96.21,0.00,12118732.58,0.00,12118732.58
Urun_49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,187863.71,0.00,0.00,0.00,0.00,0.00,0.00,1913.74,7038.31,8525.54,16.91,0.00,29.44,0.00,122.08,99756.44,42599.67,116.53,2569.20,0.00,0.00,0.00,0.00,0.00,10266.36,0.00,0.00,14962581.08,6163.92,0.00,0.00,0.00,0.00,365761.75,0.00,0.00,0.00,655.84,0.00,0.00,0.00,0.00,0.00,15695980.52,521370.92,16217351.44
Urun_50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,316.97,0.00,0.00,0.00,0.00,627.64,0.00,0.00,12237.49,0.00,0.00,0.00,0.00,0.00,0.00,9.36,144982.24,0.00,8088.90,4027.73,354.62,0.00,0.00,1964.18,0.00,29415.90,0.00,0.00,0.00,160.51,0.00,0.00,0.00,0.00,0.00,0.00,12040.57,0.00,0.00,4642329.66,20.26,0.00,1514.63,13235.97,261202.01,2995.32,0.00,0.00,30368.50,0.00,0.00,4336.54,694.18,0.00,5170923.16,53745.72,5224668.89
Urun_51,0.00,146.30,0.00,99902.23,82121.00,346264.87,84287.31,17183.91,6424.31,14959.97,42097.13,14506.71,26734.01,79091.72,61902.88,43846.90,13657.76,12849.77,25763.67,18397.50,4935.79,41403.98,1676.92,12.31,86525.60,17527.48,1143561.13,293352.86,80825.01,18200.47,1543295.96,21875.09,21.49,114886.35,51.88,38855.23,0.00,14359.73,0.00,0.00,0.00,0.00,0.00,11501.20,0.00,14615.90,0.00,0.00,0.00,0.00,5669866.77,0.00,77476.44,38162.26,142361.13,0.00,0.00,0.00,38031.69,0.00,0.00,0.00,0.00,0.00,10403520.62,305601.75,10709122.37
Urun_52,0.00,0.00,0.00,0.00,2671.86,172.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4712.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2724.14,0.00,0.00,2969.70,20168.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2152.52,1829396.26,0.00,4361.85,0.00,27225.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1896555.30,39640.91,1936196.20
Urun_53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6923.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,673.86,3439.31,29000.31,611.52,27140.24,74190.15,0.00,133142.93,9596.39,0.00,0.00,64504.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4604.50,0.00,17170106.14,2076.03,0.00,55406.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17581415.62,1093678.19,18675093.81
Urun_54,0.00,0.00,0.00,184527.98,0.00,0.00,0.00,0.00,591.59,0.00,29272.52,212155.83,1307.27,18778.09,0.00,76.88,12.88,34915.31,0.00,0.00,105.42,1801.94,0.00,0.00,7737.31,103045.47,733100.84,0.00,67825.08,202069.12,26426.02,0.00,0.00,24372.02,8.99,67806.64,0.00,18661.78,158891.66,22282.81,0.00,0.00,0.00,122160.87,0.00,4930.75,392518.31,0.00,18431.75,5639.39,1498.35,154320.27,44046.19,33407233.74,237655.75,1613.56,9259.47,5921.50,28871.17,39069.27,0.00,0.00,48055.14,0.00,36436998.93,864655.28,37301654.21
Urun_55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91378512.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,91378512.31,0.00,91378512.31
Urun_56,0.00,0.00,0.00,0.00,0.00,9.08,0.00,0.00,11359.74,0.00,0.00,0.00,0.00,53.59,0.00,0.00,0.00,242.83,0.00,0.00,0.00,471.86,0.00,0.00,0.00,0.88,27.11,0.00,8247.16,0.00,1530.83,0.00,28.06,0.00,0.00,15409.94,506.36,0.00,0.00,26049.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,38.11,58.62,0.00,0.00,13437.69,2867804.85,68480275.52,785.70,765136.94,42.69,68608.56,0.00,0.00,0.00,0.00,72260125.80,0.00,72260125.80
Urun_57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,272.71,11129.93,0.00,14000.86,38298.48,0.00,0.00,0.00,0.00,0.00,3.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8318.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,57107.59,779034.83,4625.47,66764203.59,15379.27,0.00,0.00,0.00,0.00,10137.89,0.00,67702512.54,12849.47,67715362.01
Urun_58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,788.86,1019.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150317.98,8149.50,210170.56,3582512.20,0.00,0.00,0.00,0.00,0.00,0.00,3952958.11,0.00,3952958.11
Urun_59,0.00,0.00,0.00,0.00,0.00,0.00,2070.67,0.00,0.00,0.00,0.00,0.00,0.00,31.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2543.77,0.00,3166.81,65370.98,38154.32,0.00,0.00,0.00,0.00,0.00,23.46,0.00,0.00,41105.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1362.08,43096.54,0.00,0.00,0.00,13476535.39,20970.19,0.00,0.00,3786.70,0.00,13698217.32,73627.37,13771844.68
Urun_60,0.00,0.00,0.00,361.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,106.65,0.00,0.00,0.00,0.00,18117.56,0.00,0.00,102311.68,539.38,0.00,0.00,0.00,0.00,6969.61,0.00,0.00,48008.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.12,0.00,10558.72,7065.21,10520.30,6180.81,0.00,16.17,591.88,8527021.49,0.00,0.00,0.00,0.00,8738391.98,0.00,8738391.98
Urun_61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3402.01,0.00,0.00,0.00,0.00,0.00,9919003.95,0.00,0.00,0.00,9922405.95,0.00,9922405.95
Urun_62,0.00,0.00,0.00,0.00,0.00,677.09,3509.63,0.00,2.47,0.00,0.00,0.00,323.73,0.00,0.00,42766.48,663.99,7534.43,13.67,0.00,157.20,13488.06,1150.74,0.00,0.00,0.00,122551.77,0.00,252244.86,273221.03,997.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,169486.93,28030.44,0.00,0.00,0.00,0.00,0.00,0.00,610.58,0.00,0.00,0.00,2.60,0.00,0.00,102.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7945516.70,0.00,0.00,8863052.23,0.00,8863052.23
Urun_63,0.00,0.00,0.00,0.00,54.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14251.80,0.00,33.67,0.00,132.19,0.00,0.00,749.71,0.00,0.00,0.00,0.00,190.35,695.47,0.00,28602.27,4826.80,380.13,0.00,0.00,18.47,0.00,117821.91,0.00,0.00,0.00,91030.90,0.00,0.00,0.00,18803.12,0.00,49988.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11674.34,0.00,0.00,6405.41,0.00,76.84,7840.93,0.00,0.00,12448918.70,0.00,12802495.53,8920.23,12811415.76
Urun_64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,781733.27,781733.27,0.00,781733.27
Toplam Uretim,187042096.39,4251075.30,3901474.93,29639349.89,154083936.17,150914075.11,11857467.91,18777625.19,9223699.28,44550343.31,41906519.20,9017536.20,43091970.49,51194894.82,96129317.42,49903349.49,9806251.25,40364292.79,35395952.08,59658165.83,7364474.94,40628104.16,12680510.19,121466976.48,7424382.99,21998754.36,308217935.49,30871097.44,121396200.20,143325513.81,197955916.60,15235388.19,22085851.43,25922012.04,7946807.89,84136720.81,6366820.29,8980511.64,33258260.71,15406703.66,55600448.45,10679188.97,7627220.27,79951107.44,87465958.71,23554929.09,13924112.69,832272.28,16100633.64,4769852.01,5770888.58,2092803.94,17414731.10,34236076.73,112917241.34,73882469.14,67155687.45,4404980.96,13699838.28,8812890.08,11161845.14,8030434.43,12516414.53,781733.27,2956762094.88,448324963.19,3405087058.07
