;Sek_1;Sek_2;Sek_3;Sek_4;Sek_5;Sek_6;Sek_7;Sek_8;Sek_9;Sek_10;Sek_11;Sek_12;Sek_13;Sek_14;Sek_15;Sek_16;Sek_17;Sek_18;Sek_19;Sek_20;Sek_21;Sek_22;Sek_23;Sek_24;Sek_25;Sek_26;Sek_27;Sek_28;Sek_29;Sek_30;Sek_31;Sek_32;Sek_33;Sek_34;Sek_35;Sek_36;Sek_37;Sek_38;Sek_39;Sek_40;Sek_41;Sek_42;Sek_43;Sek_44;Sek_45;Sek_46;Sek_47;Sek_48;Sek_49;Sek_50;Sek_51;Sek_52;Sek_53;Sek_54;Sek_55;Sek_56;Sek_57;Sek_58;Sek_59;Sek_60;Sek_61;Sek_62;Sek_63;Sek_64;EMEK;SERMAYE;GELİR VERGİSİ;SEKTÖR ÜRÜN VERGİ;ÜRETİM VERGİ;ÜRETİM SÜBVANSİYON;HANEHALKI;DEVLET;YATIRIM;DIŞ DÜNYA (İHRACAT);TOPLAM
Sek_1;34.523.044,89;23.721,14;21.596,54;35.108,59;41.724.960,23;4.368.891,13;59.111,56;41.391,12;1.251,44;1.221,78;90.805,77;40.845,36;367.668,56;12.067,85;2.042,93;2.841,94;98,26;2.534,37;4.584,74;1.043,41;914,03;40.610,15;2.321,30;2.845,70;646,62;7.994,62;156.303,38;9.991,70;511.621,65;385.025,04;22.940,30;3.380,44;304,62;2.829,00;2.807,96;3.844.414,42;566,34;2.190,52;2.429,50;2.358,32;4.180,24;851,99;593,2;35.876,56;7.954,61;5.829,42;77.935,20;625,05;237,31;39.116,89;121,99;87,63;51.051,12;71.054,10;1.076.466,33;117.456,80;59.501,75;49.804,72;3.550,73;64.870,86;17.529,59;1.963,89;20.746,50; -   ; -   ; -   ; -   ; -   ; -   ; -   ;75.284.080,41; -   ;14.817.792,21;10.637.334,97;188.773.941,28
Sek_2;55.695,49;89.468,99;2.157,13;86.832,20;87.993,89;12.465,61;1.208.463,73;279.753,92;10,14;153,3;100.678,51;105,79;6.957,34;18.869,62;1.648,42;1.763,54;4,17;6.872,41;5.163,13;207,77;20;89,84;16,3;402,16;119,17;1.787,97;15.792,52;696,96;3.701,29;1.391,03;3.145,42;46,94;29,96;36,94;22,88;49.576,70;12,66;158,84;1.080,44;29,64;95,19;17,38;17,96;10.283,40;12.701,26;49,13;3.031,90;7,49;20,85;7,53;4,33;3,69;1.141,15;9.665,44;1.321,78;2.502,14;589,6;18,82;6.793,98;538,72;742,81;468,29;3.770,85; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2.161.409,49; -   ;35.277,62;14.045,10;4.307.948,69
Sek_3; -   ; -   ;87.749,04;725,56;249.962,16;122,63; -   ; -   ; -   ;63,21;55,09; -   ; -   ;1.188,60; -   ; -   ; -   ; -   ; -   ; -   ;14,07; -   ; -   ; -   ; -   ;0,45;4.272,65; -   ;6.285,13;33.746,82; -   ;677,38; -   ;422,76; -   ;477.783,51;1,22; -   ; -   ; -   ; -   ; -   ; -   ;43,37; -   ; -   ; -   ; -   ; -   ;2.030,59; -   ; -   ;1.785,08;635,11;5.062,15;118,23;1.755,97;22,59;1.442,91;22,45;186,42; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2.571.892,69; -   ;16.986,07;334.201,93;3.799.255,85
Sek_4;416.709,40;10.128,94;1.189,15;1.245.128,19;364.788,31;272.448,95;28.114,88;45.535,71;6.577,82;6.225.799,28;495.431,50;6.497,89;70.278,50;5.443.098,44;4.596.860,51;133.992,39;3.046,53;134.496,63;30.137,09;59.269,89;4.926,27;40.635,64;31.976,85;4.854.733,87;6.786,30;79.344,69;4.602.723,33;58.280,63;619.683,32;148.573,59;324.212,52;14.370,74;12.131,10;13.650,18;3.856,55;103.807,09;1.751,45;2.792,51;11.590,74;1.781,88;5.686,86;1.293,36;3.174,36;297.058,64;67.933,90;11.724,94;94.739,47;636,58;3.587,54;6.795,22;4.083,22;293,49;22.605,35;34.387,38;51.024,85;17.175,17;134.842,01;4.959,83;4.297,90;7.001,94;13.851,20;11.657,02;35.514,10; -   ; -   ; -   ; -   ; -   ; -   ; -   ;6.049.183,37;6.891,21;3.006.516,83;4.749.429,32;45.173.484,30
Sek_5;5.718.084,88;1.335,08;144.997,75;49.882,26;17.157.423,51;609.463,62;23.555,36;116.117,66;23.908,74;23.803,14;207.811,04;73.893,24;131.493,35;80.093,04;70.107,49;58.771,17;11.577,75;68.322,10;46.094,67;51.367,09;12.849,73;118.505,39;28.002,40;39.591,07;7.846,04;28.899,81;308.092,02;53.288,97;565.201,63;1.277.957,84;215.379,54;22.087,23;24.078,03;27.712,74;29.078,00;14.663.723,37;6.824,86;18.669,84;28.825,43;11.156,45;42.182,89;8.995,43;6.540,03;34.341,19;24.194,35;54.546,27;39.419,73;1.943,99;5.488,16;40.255,04;4.050,01;1.031,58;60.782,16;276.904,03;1.264.239,62;225.653,08;240.069,69;140.886,26;18.767,79;145.851,93;31.759,79;22.443,29;192.230,39; -   ; -   ; -   ; -   ; -   ; -   ; -   ;122.253.227,75;33.444,93;1.555.823,06;15.986.443,84;184.867.389,56
Sek_6;188.519,00;4.400,67;9.308,15;99.436,26;420.748,51;45.836.642,26;29.085,43;369.710,04;34.700,49;14.484,88;271.198,21;128.068,88;399.498,44;211.007,59;91.272,60;100.350,09;14.334,93;133.863,27;132.227,45;367.042,35;29.262,95;1.813.511,09;48.532,50;16.859,41;8.494,75;28.687,37;453.155,22;92.456,98;1.004.666,17;723.315,84;231.771,29;8.110,91;28.928,20;35.524,59;46.110,80;328.430,55;6.201,98;17.046,00;17.591,09;6.307,27;15.356,03;8.117,15;2.479,24;40.591,41;36.678,27;35.437,71;26.710,24;1.030,02;29.841,59;34.498,03;9.727,72;6.744,01;118.564,67;213.709,20;644.114,01;62.859,83;112.401,12;25.001,55;19.688,98;83.421,21;9.939,02;105.937,25;919.642,13; -   ; -   ; -   ; -   ; -   ; -   ; -   ;55.292.659,60;36.932,48;-2.000.233,85;52.944.773,65;162.637.486,81
Sek_7;104.446,04;800,46;1.353,71;49.084,77;78.362,08;90.980,81;1.599.024,82;40.675,32;10.589,10;2.730,52;57.802,32;5.949,81;103.039,63;182.242,26;66.086,70;160.111,25;3.495,01;127.436,31;85.035,67;19.216,76;22.063,95;2.764.673,30;271.678,07;3.790,41;3.843,50;11.199,52;3.514.592,43;14.321,33;183.427,05;94.042,72;40.865,88;1.128,50;3.813,96;2.978,35;1.738,82;11.383,73;1.179,87;1.845,14;3.859,84;1.083,15;1.998,25;747,03;674,18;15.877,01;14.957,48;2.853,56;18.177,04;343,54;3.518,10;38.040,10;2.115,54;100,72;1.495,76;19.467,36;29.715,22;4.377,33;41.193,59;710,68;2.189,66;2.733,22;73.552,79;65.945,12;50.464,77; -   ; -   ; -   ; -   ; -   ; -   ; -   ;581.772,29;3.755,92;599.253,68;1.240.262,60;12.558.265,36
Sek_8;269.870,81;10.365,91;12.664,45;15.983,01;1.917.483,02;980.651,50;102.135,06;1.922.729,67;789.380,21;44.424,70;450.316,10;115.445,65;401.384,25;392.705,05;151.755,81;191.489,71;41.854,69;260.024,22;91.087,44;104.587,34;8.385,77;130.525,17;4.970,00;86.763,81;7.807,09;11.529,37;199.083,18;41.059,65;531.751,51;440.566,31;88.116,08;1.327,54;9.617,74;71.021,36;53.735,63;420.771,73;219.056,73;9.185,86;53.745,55;67.665,24;166.525,00;22.240,45;63.628,77;34.193,57;21.352,84;310.689,14;163.550,03;4.849,56;31.215,76;20.833,50;1.240,43;5.283,92;14.298,20;187.713,54;237.815,75;233.958,30;226.997,05;37.074,96;53.329,04;21.893,48;27.837,98;7.107,32;18.075,55; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4.869.187,50;39.733,88;68.383,11;2.885.056,05;20.497.088,60
Sek_9;12.555,90;6.180,65;629,33;7.207,02;179.176,32;152.544,08;10.228,30;134.581,46;672.065,37;2.839,07;52.547,87;48.786,46;88.196,70;37.792,77;19.195,43;32.009,77;14.155,47;92.976,78;66.063,05;34.471,42;11.654,76;296.437,62;10.655,69;11.527,89;3.102,50;6.052,87;109.779,99;80.020,23;1.381.748,35;1.135.483,16;297.156,32;4.219,92;3.273,48;111.273,47;39.884,51;105.606,11;919.467,75;47.722,94;66.726,33;38.533,57;143.539,61;28.904,45;66.404,17;12.742,37;5.626,11;78.584,24;89.889,66;3.171,52;317.953,94;43.612,83;5.208,68;22.742,06;497.744,41;217.089,75;381.775,69;210.673,51;79.231,51;25.346,11;80.152,51;29.388,47;105.114,85;134.419,01;59.870,78; -   ; -   ; -   ; -   ; -   ; -   ; -   ;479.508,75;9.226,22;-291.160,44;227.166,95;9.408.458,42
Sek_10;4.537.195,13;33.192,84;159.960,39;1.653.809,97;748.222,21;631.223,16;109.688,41;111.610,86;57.101,61;936.763,52;827.979,51;61.763,76;444.784,21;1.899.253,38;391.701,11;318.604,07;15.075,74;476.188,81;190.422,59;169.189,13;25.752,37;196.898,73;119.114,70;438.695,21;86.886,35;335.686,38;5.469.164,10;549.506,66;3.078.942,31;2.666.415,02;20.638.652,39;1.306.088,87;5.442.057,13;1.040.201,41;355.110,21;607.428,89;15.783,04;17.590,33;73.704,87;35.890,30;34.589,53;74.526,18;34.265,91;473.647,80;407.249,80;243.058,45;155.214,48;12.698,59;57.803,71;42.567,72;155.015,05;12.087,56;306.557,42;405.634,31;3.057.167,37;550.654,73;207.870,21;77.269,30;17.515,64;40.890,45;111.469,49;86.560,14;561.531,83; -   ; -   ; -   ; -   ; -   ; -   ; -   ;17.580.102,52;7.197,64;619.265,83;12.337.144,76;93.942.856,10
Sek_11;2.823.315,51;9.125,71;13.657,68;244.872,27;1.085.550,92;4.352.266,37;427.557,41;861.242,97;373.520,82;261.619,33;5.480.974,55;406.461,89;4.563.639,46;939.204,37;785.193,64;518.062,40;94.147,81;670.593,61;178.086,53;397.205,07;51.782,92;721.790,14;85.776,25;117.680,44;30.870,96;205.062,27;1.740.393,65;177.316,07;382.636,16;337.797,50;376.184,96;22.546,24;78.703,46;44.203,44;7.865,93;462.606,33;22.178,80;21.625,39;7.895,63;4.081,82;25.738,67;4.039,63;16.142,88;502.542,85;594.207,34;11.798,40;21.053,35;15.826,46;15.231,85;112.374,45;18.335,31;413,64;9.486,14;309.213,31;313.521,67;78.235,14;264.352,16;18.095,79;3.946,81;65.117,13;32.422,57;37.966,88;229.708,03; -   ; -   ; -   ; -   ; -   ; -   ; -   ;8.025.172,63;25.121,45;-15.091,47;10.399.994,99;50.520.264,75
Sek_12;135.983,78;278,83;632,32;4.953,72;102.940,52;52.284,25;4.016,74;10.480,77;3.513,09;3.480,74;32.301,60;408.674,98;26.542,29;12.977,05;13.506,97;9.891,11;3.058,10;12.628,37;8.436,65;17.701,75;1.468,45;18.645,90;2.566,48;5.389,46;1.488,28;8.604,57;54.259,63;5.099,04;61.348,48;44.383,50;27.351,64;1.899,90;5.560,74;4.643,38;1.678,98;17.678,61;1.501,70;1.483,41;9.363,61;2.929,53;7.653,77;970,57;957,64;12.526,59;11.689,95;3.479,12;1.872,63;1.202,67;1.671,45;85.212,17;735,74;265,15;4.369,43;11.311,74;46.154,41;42.129,46;1.282.742,11;3.425,13;3.368,06;65.819,83;19.067,81;1.761,61;5.324,48; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3.291.601,85;8.508.285,79;-356.304,48;1.558.283,13;15.757.206,79
Sek_13;459.683,49;9.859,84;6.319,52;147.289,65;2.260.419,85;1.113.703,91;129.639,05;485.245,16;158.813,99;38.635,50;553.839,02;155.187,04;3.474.879,80;316.563,74;141.375,00;488.893,01;148.601,82;1.476.673,33;522.766,97;1.521.986,08;117.490,46;992.689,99;125.734,43;60.039,69;108.434,17;25.099,49;5.814.606,01;388.564,85;608.106,87;481.421,89;1.529.889,03;6.761,81;4.397,95;51.949,76;33.280,79;114.108,10;16.757,70;9.928,70;17.832,94;2.643,26;11.034,30;1.662,18;5.733,77;792.037,92;973.136,67;17.869,86;37.739,55;1.328,40;10.705,13;17.160,26;12.474,26;429,22;12.061,79;162.414,75;199.996,23;17.178,41;108.894,90;2.628,56;3.718,71;5.560,20;13.267,78;82.736,10;163.982,25; -   ; -   ; -   ; -   ; -   ; -   ; -   ;6.351.491,36;11.606,52;2.392.021,08;10.886.104,29;46.415.088,11
Sek_14;162.332,31;27.628,97;544,53;257.228,09;504.340,70;120.547,71;31.677,94;21.116,74;13.345,27;318.441,18;190.688,44;47.239,80;453.074,11;5.846.721,00;577.090,02;318.332,26;16.149,24;358.448,21;167.961,59;452.998,16;27.440,11;228.953,85;183.983,84;364.741,75;30.062,27;39.492,37;24.271.516,19;247.189,16;477.598,95;165.334,91;844.020,11;4.928,55;7.903,05;7.311,87;2.890,49;164.222,68;9.837,14;6.446,14;8.503,26;2.435,35;4.446,17;1.180,92;1.501,71;1.413.110,46;1.716.948,94;3.716,75;54.141,75;45.308,65;6.942,13;20.182,08;36.379,54;437,11;13.650,96;80.714,00;404.925,76;8.928,56;426.893,57;1.786,14;9.848,39;7.415,45;76.454,08;13.013,32;64.869,33; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3.371.577,33;13.445,94;1.730.199,02;6.993.931,13;53.502.667,49
Sek_15;78.231,09;2.488,44;1.655,41;297.306,89;151.079,15;121.018,29;69.312,54;52.895,78;53.319,74;76.509,53;135.219,38;15.723,14;646.302,69;382.080,52;13.721.261,01;10.088.730,76;224.289,15;5.668.260,13;4.987.197,26;5.994.639,83;567.097,08;2.420.842,66;804.391,18;276.295,13;44.944,42;98.903,22;19.154.598,67;58.198,32;495.258,59;261.107,61;329.968,96;28.085,42;35.268,44;46.619,47;4.376,75;101.887,31;2.381,21;2.282,06;10.218,94;2.517,85;5.506,50;1.244,37;1.036,01;57.095,07;49.563,92;4.497,93;57.028,64;2.927,64;18.438,21;40.048,53;34.560,53;214,31;7.714,84;44.940,17;73.481,66;10.511,82;19.350,90;1.634,82;2.109,60;5.201,58;2.542,80;29.859,12;73.126,03; -   ; -   ; -   ; -   ; -   ; -   ; -   ;596.615,41;9.862,56;3.130.084,10;47.337.176,12;119.129.137,22
Sek_16;83.191,95;8.847,61;4.620,71;128.976,29;510.413,39;321.290,17;95.198,44;45.719,76;17.391,61;16.730,35;215.697,68;10.222,00;386.461,68;131.776,40;809.526,66;2.441.374,31;178.714,01;1.026.977,50;1.149.437,20;1.229.207,28;195.021,22;701.513,71;365.822,83;18.863,01;18.743,72;43.526,68;10.527.062,95;154.726,29;317.439,63;685.243,76;901.525,91;4.776,62;13.116,73;36.114,76;3.475,06;41.105,37;32.595,30;4.436,22;51.075,25;3.864,23;8.249,73;1.164,68;2.041,46;346.106,56;423.566,36;7.053,82;19.817,62;1.300,27;4.042,75;12.581,83;16.025,79;195,4;10.094,27;33.893,27;821.240,73;15.081,13;69.560,95;1.999,19;18.423,76;8.374,33;15.846,01;86.818,85;24.816,69; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3.672.342,53;23.320,37;15.234.107,08;12.747.587,82;56.557.477,51
Sek_17;18.804,54;1.194,26;241,05;6.807,45;25.623,55;17.970,35;1.602,81;3.328,16;3.718,41;2.790,55;9.190,22;1.510,86;12.749,10;7.546,46;7.949,53;39.273,52;795.710,85;253.509,55;59.183,97;226.477,07;10.969,83;14.865,16;74.708,33;64.530,75;3.994,46;5.916,05;179.262,85;16.646,57;34.149,03;49.110,00;36.302,78;1.352,89;3.341,34;2.249,22;2.342,11;9.471,71;4.231,08;32.693,87;134.002,32;32.359,31;11.827,59;643,97;610,82;6.048,74;6.706,47;7.991,93;18.588,70;8.128,17;7.295,79;6.153,34;1.223,66;152,44;3.625,21;153.313,07;42.180,68;16.734,41;189.502,30;1.507,51;8.907,71;3.749,05;2.250,41;131.583,50;6.620,96; -   ; -   ; -   ; -   ; -   ; -   ; -   ;7.757.729,42;14.343,39;10.411.339,52;4.387.071,95;25.413.512,63
Sek_18;35.969,85;842,86;2.658,52;39.977,15;92.222,05;103.891,30;7.381,64;11.867,86;13.249,86;8.783,06;34.279,56;4.495,49;78.826,41;68.021,34;95.445,46;267.771,05;463.323,96;2.399.082,97;548.659,52;876.358,19;82.791,53;90.434,59;302.314,83;188.225,91;12.913,44;14.805,30;3.650.785,56;125.079,55;266.528,23;359.212,22;119.915,43;5.944,76;9.879,73;17.517,38;5.873,55;158.808,05;8.524,01;9.690,96;132.958,78;13.151,71;25.270,84;2.966,21;5.120,20;290.223,79;341.425,17;31.332,98;37.908,03;3.275,89;49.536,38;29.632,23;22.598,63;2.188,36;21.314,73;92.847,58;294.557,76;18.977,77;72.594,38;2.788,78;7.774,84;10.438,64;1.964,78;279.977,47;86.678,17; -   ; -   ; -   ; -   ; -   ; -   ; -   ;11.594.903,21;36.146,20;12.204.270,89;17.241.390,47;53.536.568,03
Sek_19;115.489,18;7.369,11;5.721,66;67.332,55;122.957,82;96.794,79;11.622,46;19.508,90;7.443,82;11.463,02;32.828,80;15.757,44;76.530,58;77.466,33;108.086,24;214.420,66;87.588,72;480.863,68;890.229,65;912.146,45;60.791,60;82.285,97;99.608,43;12.310,21;7.503,33;24.156,19;1.609.074,78;119.398,28;90.639,93;69.175,38;139.072,57;5.853,37;18.005,13;30.242,34;3.762,32;40.020,58;2.923,19;2.076,01;10.779,14;6.419,76;12.383,97;1.325,06;2.137,03;66.759,16;78.240,75;4.347,46;8.101,91;1.551,25;3.622,41;10.028,23;4.319,27;176,45;11.394,08;18.727,67;82.064,03;12.157,83;89.613,11;1.580,36;2.365,09;11.400,83;3.089,20;50.872,60;12.979,69; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1.619.769,85;28.641,43;38.748.517,05;14.430.402,76;61.112.288,90
Sek_20;232.946,50;5.160,65;381,45;20.899,38;75.411,70;101.042,44;6.665,24;10.578,08;4.204,87;2.680,42;19.913,71;4.134,60;72.141,11;31.220,10;58.711,30;136.788,89;38.132,62;97.775,55;576.769,98;6.842.015,65;47.521,83;63.755,59;32.374,31;6.166,97;6.242,61;8.387,24;630.026,84;1.687.444,76;67.236,70;72.775,82;771.098,09;1.696,51;3.970,66;8.604,58;4.824,85;15.389,85;2.162,31;1.226,01;5.310,40;3.562,36;8.384,61;997,75;1.235,74;29.357,36;35.058,70;3.259,42;4.323,00;460,98;2.033,93;1.458,15;7.687,76;126,94;3.395,39;11.541,13;75.459,80;3.314,76;31.537,38;928,96;1.474,64;2.607,90;19.517,10;9.474,71;10.417,70; -   ; -   ; -   ; -   ; -   ; -   ; -   ;23.190.893,51;46.113,45;28.279.369,05;29.032.694,43;92.590.476,77
Sek_21;3.675,26;626,69;9.830,15;25.354,83;40.016,70;41.208,61;4.390,97;6.607,31;2.546,99;5.005,62;6.733,47;2.525,28;24.669,46;29.479,24;18.218,94;21.177,54;5.937,86;11.189,30;24.069,99;37.520,81;334.186,76;33.603,66;205.534,29;1.377,98;3.530,68;3.604,10;61.367,06;23.165,89;31.740,62;20.297,64;85.365,47;10.448,25;29.317,11;10.533,07;329,44;16.607,96;685,18;1.272,92;8.815,71;103.593,36;18.092,41;1.275,89;2.407,58;6.538,12;3.919,40;2.083,07;993,82;595,49;2.055,78;307,09;552,08;48,59;1.162,69;4.045,33;52.549,42;5.129,98;35.815,25;1.031,61;1.344,02;2.018,73;230,56;4.487,72;1.290,65; -   ; -   ; -   ; -   ; -   ; -   ; -   ;826.748,08;19.607,22;10.843.759,37;3.325.179,38;16.469.431,52
Sek_22;70.437,12;1.123,07;1.625,80;11.155,16;69.237,54;268.783,05;88.358,55;13.385,80;5.164,06;3.689,77;24.400,98;7.085,74;40.106,28;38.326,57;23.425,78;62.327,72;11.789,55;55.383,15;82.131,57;44.152,82;31.750,85;2.586.024,96;80.344,69;3.733,86;3.649,69;6.531,86;1.171.658,38;16.923,18;65.422,99;105.381,93;48.851,98;1.750,60;8.983,11;3.341,71;2.444,43;23.053,80;5.592,72;5.719,83;11.936,19;6.331,72;19.519,92;2.565,02;3.812,37;27.082,02;31.527,60;3.724,39;9.861,00;4.372,03;41.010,84;13.667,26;1.842,76;277,9;5.542,18;26.300,89;166.136,56;66.840,76;2.355.646,52;20.887,77;21.118,70;41.025,72;14.596,10;40.585,43;133.659,96; -   ; -   ; -   ; -   ; -   ; -   ; -   ;21.839.046,80;92.992,61;10.977.773,31;7.527.435,15;48.600.370,18
Sek_23;29.526,56;906,83;156.210,26;387.324,51;562.667,34;599.346,17;62.346,89;97.679,54;41.329,53;72.152,18;84.832,79;36.145,69;352.921,30;449.650,46;246.435,74;242.486,30;53.777,00;109.505,18;190.123,41;210.666,39;32.627,85;100.737,40;56.041,47;1.528,13;52.573,39;46.367,05;492.372,88;51.646,47;330.434,93;239.768,64;180.186,87;97.495,31;267.860,71;146.833,83;2.176,99;244.557,87;10.922,95;16.579,51;127.441,01;30.227,13;262.126,10;17.321,19;37.016,03;60.530,28;10.490,01;25.058,42;15.472,90;8.951,70;24.913,14;3.019,92;4.834,02;282,13;4.870,95;58.741,51;40.985,12;76.562,76;486.532,95;15.266,02;18.541,87;25.047,55;1.650,84;8.824,47;3.700,07; -   ; -   ; -   ; -   ; -   ; -   ; -   ;406.039,20;3.234,78;4.626.923,69;167.824,91;12.929.176,98
