;Sek_1;Sek_2;Sek_3;Sek_4;Sek_5;Sek_6;Sek_7;Sek_8;Sek_9;Sek_10;Sek_11;Sek_12;Sek_13;Sek_14;Sek_15;Sek_16;Sek_17;Sek_18;Sek_19;Sek_20;Sek_21;Sek_22;Sek_23;Sek_24;Sek_25;Sek_26;Sek_27;Sek_28;Sek_29;Sek_30;Sek_31;Sek_32;Sek_33;Sek_34;Sek_35;Sek_36;Sek_37;Sek_38;Sek_39;Sek_40;Sek_41;Sek_42;Sek_43;Sek_44;Sek_45;Sek_46;Sek_47;Sek_48;Sek_49;Sek_50;Sek_51;Sek_52;Sek_53;Sek_54;Sek_55;Sek_56;Sek_57;Sek_58;Sek_59;Sek_60;Sek_61;Sek_62;Sek_63;Sek_64;EMEK;SERMAYE;GELİR VERGİSİ;SEKTÖR ÜRÜN VERGİ;ÜRETİM VERGİ;ÜRETİM SÜBVANSİYON;HANEHALKI;DEVLET;YATIRIM;DIŞ DÜNYA (İHRACAT);TOPLAM
Sek_24;1.031.312,55;14.469,26;5.712,09;901.606,06;1.677.454,93;3.072.912,16;374.504,16;355.922,24;185.676,54;197.346,76;722.327,42;148.692,78;1.163.608,98;2.635.819,27;4.595.717,73;742.455,00;52.131,28;380.444,27;466.117,73;536.445,70;63.884,46;261.372,59;98.741,75;59.867.020,33;931.957,59;155.941,84;751.481,08;275.638,44;924.671,16;3.161.811,57;400.697,96;20.556,38;12.638,52;268.994,95;46.128,19;1.968.911,56;32.051,01;142.066,99;508.684,38;63.730,35;524.305,37;15.991,14;57.233,02;2.223.415,77;190.384,72;253.187,46;145.677,71;18.924,62;97.726,46;27.984,54;14.329,93;9.897,75;61.462,90;89.630,88;2.401.879,46;1.543.190,83;1.339.097,11;83.059,93;107.400,36;277.270,29;110.087,68;87.368,01;148.383,47; -   ; -   ; -   ; -   ; -   ; -   ; -   ;25.206.687,50;1.333,57;115.258,52;462.188,09;124.831.015,12
Sek_25;338.635,41;20.346,37;394,8;6.669,31;99.121,87;63.164,72;8.457,39;97.067,08;7.224,00;7.071,73;38.101,06;3.573,23;27.137,12;35.317,30;154.933,65;35.928,71;2.433,29;13.849,38;16.249,34;13.957,83;2.726,27;17.447,61;2.309,88;9.610,19;56.976,21;67.923,40;115.059,64;27.365,16;102.058,07;138.911,60;24.552,35;1.770,51;2.444,83;12.384,56;3.481,41;167.598,07;1.635,33;3.788,96;16.850,92;3.233,65;29.056,14;6.427,90;4.356,65;143.952,24;125.629,52;10.470,80;5.556,90;1.556,77;2.494,52;1.470,39;2.755,23;161,33;2.200,87;6.923,96;311.349,78;198.619,50;204.758,13;15.807,19;26.831,65;47.495,46;11.904,34;6.866,14;31.990,32; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3.923.230,64;710.355,21;-1.767,74;7.794,45;7.606.010,53
Sek_26;7.147,18;107,75;62,17;4.952,29;12.506,22;92.957,62;1.056,67;229.521,15;1.906,98;17.845,72;59.058,02;6.699,49;88.963,29;56.940,87;13.079.665,61;74.664,70;36.693,63;91.205,09;32.359,44;60.621,43;1.609,55;16.374,99;11.810,33;17.509,07;25.021,63;2.281.474,80;63.068,79;1.940,80;48.525,47;10.220,91;19.498,66;905,34;1.599,05;7.812,83;961,43;74.757,74;458,48;739,74;4.276,39;457,94;2.456,47;381,26;10.158,72;157.548,03;192.450,48;1.349,13;1.153,48;73,86;788,9;690,77;561,23;113,68;1.572,60;5.222,20;16.533,08;4.417,04;115.770,55;628,58;1.713,35;1.525,69;1.141,49;487,66;8.361,71; -   ; -   ; -   ; -   ; -   ; -   ; -   ;736.729,58;5.756.227,20;-235.998,40;793.534,66;24.119.552,24
Sek_27;500.146,42;23.279,57;17.861,93;251.273,51;642.025,08;470.007,72;118.010,68;55.049,14;49.178,36;396.465,69;208.295,82;43.931,72;213.192,46;798.626,39;649.422,71;331.132,87;81.023,24;194.894,24;198.906,32;217.063,51;69.252,02;315.738,71;104.740,81;748.030,85;362.385,28;1.682.309,09;48.410.369,32;200.487,29;1.107.478,80;2.244.992,55;720.238,26;42.881,50;76.208,44;79.620,99;57.427,14;607.373,18;40.382,78;84.215,73;529.133,85;44.569,76;168.711,37;51.982,01;71.702,40;1.596.066,15;1.848.399,84;146.013,78;489.379,42;22.917,03;73.101,16;107.919,02;34.212,52;15.971,65;108.830,66;200.503,22;4.716.997,81;427.206,73;534.847,04;99.737,51;140.034,74;700.041,02;54.658,30;155.239,96;54.933,21; -   ; -   ; -   ; -   ; -   ; -   ; -   ;5.202.595,51;61.846,60;232.123.175,82;4.083.669,69;316.278.317,93
Sek_28;119.148,56;40.457,01;278,11;182.902,04;278.338,54;213.457,73;51.029,39;39.601,37;18.812,71;3.394,55;72.771,59;20.301,58;224.262,89;358.956,74;59.971,56;114.771,15;16.698,84;119.132,49;320.940,64;2.361.489,31;48.111,10;65.820,52;22.731,97;60.763,13;33.502,43;143.993,86;1.343.448,60;930.837,32;1.194.120,58;670.300,21;3.658.623,43;28.740,49;27.902,17;184.777,37;140.060,88;189.295,56;17.487,67;13.214,20;33.249,01;19.411,86;221.020,98;24.144,28;34.882,55;23.949,16;5.325,02;67.146,95;98.947,30;6.532,17;33.515,12;5.514,98;179.615,73;1.800,86;16.848,67;84.251,64;682.942,15;48.876,82;97.853,33;20.413,68;12.582,30;13.674,25;46.473,94;40.657,37;13.079,42; -   ; -   ; -   ; -   ; -   ; -   ; -   ;11.443.628,52;3.667,95;4.536.772,62;213.890,65;31.421.117,56
Sek_29;4.137.573,53;51.492,81;71.528,88;637.792,60;7.471.938,21;5.975.688,62;453.868,53;576.291,43;252.837,47;627.002,98;1.293.625,79;348.806,50;1.403.462,80;1.689.290,82;2.117.929,24;1.470.143,77;549.947,75;1.969.575,47;1.347.933,36;2.224.316,61;206.249,05;2.264.167,40;420.773,79;525.637,99;62.877,96;228.305,75;9.470.051,56;614.237,47;1.776.966,60;1.812.322,99;5.272.998,86;333.952,11;1.198.676,56;334.520,33;118.338,25;2.853.481,70;76.078,61;64.861,08;257.156,77;112.465,97;203.999,94;40.696,27;41.736,71;715.524,21;789.282,22;189.853,75;210.262,03;24.041,32;158.410,11;89.534,95;56.014,44;9.568,24;160.632,35;516.045,04;1.705.927,34;322.064,40;1.348.067,52;75.196,52;47.407,17;142.449,06;111.732,70;226.513,54;533.461,35; -   ; -   ; -   ; -   ; -   ; -   ; -   ;24.001.375,42;2.354.586,76;18.266.495,73;9.730.816,81;124.746.863,85
Sek_30;1.506.387,50;11.842,49;24.928,54;247.728,37;2.902.980,43;2.582.420,85;181.987,36;224.052,75;98.253,01;254.776,90;493.154,23;127.950,50;534.393,42;678.091,92;901.801,89;610.290,60;223.316,31;809.305,05;543.150,00;702.885,21;80.080,74;920.121,43;169.517,13;205.703,78;24.732,71;93.153,19;3.767.437,00;172.909,28;658.006,06;651.636,42;1.973.711,26;116.303,74;455.147,80;122.648,08;47.199,04;1.094.848,78;26.035,81;26.158,16;233.740,27;36.949,50;81.133,74;15.727,36;17.649,60;289.972,17;317.939,33;69.370,94;62.905,65;9.473,51;51.372,82;31.499,04;21.502,43;3.796,94;88.320,80;210.076,03;687.726,83;130.040,49;472.005,41;29.784,83;30.141,74;57.666,89;41.981,66;89.711,69;206.420,97; -   ; -   ; -   ; -   ; -   ; -   ; -   ;104.606.360,81;3.096.766,83;7.781.987,09;1.094.399,24;144.131.472,34
Sek_31;2.929.274,05;63.785,29;22.292,71;1.442.957,96;5.866.074,34;2.746.435,06;324.328,79;749.553,75;244.919,17;696.753,71;1.189.382,47;234.076,52;1.175.659,78;1.797.949,89;3.837.174,05;1.673.523,91;221.845,61;1.310.664,03;1.298.452,76;1.954.546,34;164.966,67;1.033.284,98;322.770,11;445.335,24;50.655,23;547.231,01;6.124.854,23;647.086,20;6.605.233,09;3.173.465,03;32.348.704,79;372.985,09;383.797,35;942.390,47;652.037,29;1.170.470,06;179.781,70;110.128,07;244.416,71;73.269,74;113.475,26;29.501,77;70.188,66;317.070,67;335.011,80;173.677,23;182.718,38;16.431,99;763.762,22;85.079,34;107.385,85;55.449,84;383.726,23;325.428,86;2.531.570,96;1.877.679,78;584.030,78;35.710,65;131.904,09;92.735,74;82.270,15;158.685,22;342.906,95; -   ; -   ; -   ; -   ; -   ; -   ; -   ;79.710.075,06;556.530,05;6.010.056,39;19.321.597,65;199.767.174,84
Sek_32;139.329,80;1.245,90;4.944,63;67.404,21;187.573,27;125.250,42;9.778,58;24.323,54;3.471,01;202.956,21;210.552,35;27.397,91;201.683,14;108.188,09;423.092,49;142.552,15;7.156,16;70.395,39;66.049,11;99.582,56;27.307,26;31.858,65;34.544,58;70.467,13;2.933,84;12.182,78;217.455,54;18.925,73;1.246.133,45;101.035,17;1.168.803,48;1.242.045,85;249.274,91;943.056,31;7.682,27;27.197,09;630,21;1.206,98;3.541,88;2.425,22;5.232,48;1.424,29;1.006,87;15.356,10;10.834,75;10.204,11;3.206,75;678,35;236.533,01;1.486,59;2.574,72;220,25;10.893,89;7.828,81;115.836,42;8.779,45;12.341,51;1.332,85;1.482,81;190.746,11;5.969,27;3.511,28;8.486,09; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1.168.265,71;3.253,13;268.979,90;5.653.970,58;15.282.071,37
Sek_33;3.480,75;7.804,09;5.175,33;9.060,72;14.892,57;26.298,85;3.465,17;3.395,40;381,31;654,02;16.040,51;16.008,84;9.923,84;5.490,97;4.329,05;14.888,25;1.430,54;35.485,72;16.299,17;20.070,56;10.238,56;6.260,79;7.385,55;3.545,70;43,61;701,31;17.999,37;22.737,60;162.030,58;29.319,86;200.215,68;22.128,13;1.247.064,88;29.344,82;130.571,84;3.440,39;1.356,46;10.515,19;3.610,48;16.369,54;173.465,24;5.196,91;1.477,26;8.937,76;163,73;59.592,41;29.644,27;3.407,75;14.122,56;1.631,84;111,39;560,38;1.066.266,12;52.566,82;348.769,32;34.256,28;41.934,87;17,59;2.566,35;39.519,71;60.159,52;1.097,57;580,13; -   ; -   ; -   ; -   ; -   ; -   ; -   ;15.241.333,45;88,97;136.502,54;4.178.615,79;23.642.042,55
Sek_34;53.562,50;16.298,70;44.967,52;187.799,53;626.358,17;263.209,98;48.498,19;82.446,31;35.601,26;146.651,22;484.247,13;38.201,15;195.323,06;141.062,61;247.754,12;126.039,46;15.183,75;137.466,95;66.972,20;116.303,81;35.269,73;49.159,91;21.860,91;35.210,30;2.537,95;99.958,96;432.720,51;226.784,32;2.642.226,89;508.968,53;4.813.924,90;2.476.565,29;1.340.232,45;2.872.158,52;215.857,24;44.119,53;4.911,93;6.809,69;21.557,50;11.456,75;110.948,29;9.960,59;1.936,65;58.266,08;50.894,50;20.885,29;12.951,34;862,97;47.995,99;7.828,26;8.739,06;1.834,80;380.245,83;38.147,49;254.334,07;17.405,90;25.975,24;1.087,21;18.422,22;49.843,75;33.065,00;40.330,62;61.857,32; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1.330.940,75;4.355,56;144.747,70;4.385.658,23;26.055.760,14
Sek_35;1.150,97;4.100,69;532,86;16.827,81;77.016,50;181.697,25;8.821,87;14.212,86;26.515,31;3.829,07;43.715,23;12.337,80;45.762,16;32.888,54;30.013,18;46.030,14;12.255,00;42.902,40;46.649,00;14.432,10;6.084,87;73.791,77;15.956,88;17.935,33;859,75;13.167,46;92.129,41;126.627,62;1.001.772,18;1.273.004,75;309.078,12;32.024,38;32.874,70;125.424,15;275.622,25;30.896,51;67.709,27;11.498,74;259.960,33;23.737,24;213.759,63;29.682,49;47.238,37;8.368,49;2.483,30;95.257,07;29.266,77;790,03;17.379,89;41.683,54;32.911,40;9.937,47;131.435,71;61.131,41;152.426,21;57.043,32;20.157,12;1.491,44;3.315,06;16.056,81;46.586,48;43.029,42;43.490,88; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2.504.118,31;216,06;10.991,56;219.455,89;8.291.550,59
Sek_36;30.147,44;16.126,93;4.005,24;60.535,57;272.775,14;235.047,36;22.321,32;38.530,92;29.033,50;22.341,02;74.182,41;51.029,08;76.111,82;82.075,89;113.577,80;137.001,79;13.714,88;134.490,35;126.924,95;85.837,62;34.943,07;67.758,14;53.362,33;36.365,63;1.870,05;66.374,79;370.813,19;159.419,27;1.204.986,42;616.510,90;316.035,82;6.787,35;93.332,92;108.063,20;35.060,31;716.641,71;29.863,73;51.301,03;92.963,96;100.079,90;328.753,08;56.975,81;61.121,89;54.313,25;11.253,99;156.337,39;145.304,48;25.397,10;65.813,64;28.496,53;4.545,89;12.532,65;3.923.317,31;327.256,25;597.298,85;326.485,67;592.941,28;64.268,16;61.996,04;94.001,75;157.035,92;36.407,94;35.508,92; -   ; -   ; -   ; -   ; -   ; -   ; -   ;73.380.016,81;16.718,15;29.315,86;1.701.678,33;88.083.437,68
Sek_37;11.514,51;1.056,42;234,93;5.455,27;88.776,14;83.013,60;6.073,65;32.969,20;64.054,46;3.669,26;32.110,08;7.802,95;18.547,06;22.912,20;11.562,68;23.364,51;23.157,00;60.118,64;32.544,34;25.055,82;3.722,21;58.786,91;2.657,56;6.593,65;1.527,20;2.728,82;59.869,59;127.093,19;350.585,98;379.529,83;48.574,11;4.576,57;8.237,38;31.523,77;15.241,18;54.198,52;200.665,90;28.786,76;99.429,55;69.047,45;108.341,87;22.031,69;50.901,78;21.226,75;2.178,72;34.612,37;25.424,24;855,17;603.820,82;12.808,98;2.210,37;5.291,31;76.603,15;31.794,68;179.038,76;229.387,55;35.936,24;5.898,12;20.959,52;9.644,02;22.228,28;12.944,84;11.789,90; -   ; -   ; -   ; -   ; -   ; -   ; -   ;2.996.467,54;263.385,74;60.823,22;161.207,96;7.115.182,39
Sek_38;589,92;52,42;16,05;1.738,40;155.955,05;17.672,76;495,32;68.051,59;9.558,31;8.598,49;77.455,33;5.408,35;12.298,58;21.432,06;20.552,32;13.625,32;32.356,25;134.989,03;16.875,92;31.967,61;1.534,46;10.331,23;2.274,82;3.754,43;275,58;1.615,88;17.082,92;20.424,13;290.802,51;202.821,43;7.840,56;730,71;1.806,15;2.751,36;13.120,68;48.810,02;110.517,27;2.160.736,56;339.443,83;59.396,82;119.144,02;13.846,71;14.703,65;3.521,35;726,79;21.646,74;2.250,18;65,94;2.514.809,01;1.475,41;2.208,53;1.456,90;18.612,73;26.762,61;52.517,33;11.045,63;19.279,49;575,89;36.667,32;6.325,82;32.735,12;1.562,73;1.777,61; -   ; -   ; -   ; -   ; -   ; -   ; -   ;886.567,17;1.401.539,17;19.007,01;54.540,19;9.191.131,52
Sek_39;117.719,62;21.820,39;7.803,36;26.326,15;142.520,06;214.884,31;13.542,54;28.007,21;29.975,90;6.873,80;55.334,83;22.300,69;63.405,43;54.379,90;42.781,93;79.489,00;14.462,23;47.240,93;86.219,52;59.882,44;8.543,94;65.398,93;16.754,52;47.934,97;10.312,63;37.037,84;299.605,16;209.662,39;913.944,67;939.864,78;273.385,16;32.785,93;23.200,38;71.191,31;39.133,22;219.285,46;67.921,62;51.012,79;5.249.479,23;175.045,18;852.461,95;76.741,50;110.899,03;61.696,79;19.496,33;252.783,28;55.235,05;4.141,17;95.260,59;27.179,77;7.972,25;16.361,64;71.813,27;157.619,82;788.521,96;131.988,74;289.527,24;11.349,29;35.002,72;51.768,00;135.296,71;61.623,70;217.002,17; -   ; -   ; -   ; -   ; -   ; -   ; -   ;26.279.926,41;31.794,15;698.247,53;114.996,30;40.543.177,78
Sek_40;12.745,49;764,94;183,5;69.345,88;276.938,98;201.353,73;26.659,60;47.917,27;22.959,42;24.870,39;118.917,89;19.274,30;115.350,46;75.779,01;216.833,70;74.860,49;16.548,02;70.975,81;54.585,73;107.052,24;19.806,38;87.694,93;45.726,93;282.810,44;17.092,41;140.562,27;184.015,52;83.771,11;677.290,39;1.206.066,50;305.874,63;46.868,64;16.623,93;56.359,56;19.378,00;115.421,65;106.039,19;56.151,78;210.352,86;459.372,97;596.856,27;58.658,03;30.112,49;19.233,32;2.684,54;154.575,82;21.841,55;5.757,02;135.019,81;27.733,10;11.160,13;12.777,95;360.446,82;47.728,33;89.609,29;49.298,31;1.165.322,93;10.286,56;32.318,21;13.431,24;14.891,95;78.052,32;280.296,46; -   ; -   ; -   ; -   ; -   ; -   ; -   ;384.937,02;94.940,04;6.061.281,97;59.460,13;15.509.908,47
Sek_41;295.119,99;11.315,10;3.897,20;259.355,68;1.272.573,25;1.413.920,00;105.573,88;152.943,70;92.370,55;272.459,48;360.928,74;105.492,18;381.276,73;504.266,27;829.404,39;406.955,75;111.788,64;420.882,84;365.631,74;593.457,37;86.065,07;420.818,99;149.549,08;2.056.374,22;52.339,44;179.548,72;2.413.719,82;431.289,55;2.506.637,33;2.187.427,62;2.291.012,02;156.365,97;370.435,87;317.732,43;63.236,71;637.568,28;50.959,49;66.541,23;433.178,82;105.629,86;5.687.400,86;832.061,88;251.829,54;1.011.444,30;1.169.145,00;181.023,15;165.280,77;8.559,77;162.807,98;61.010,40;71.935,76;22.954,67;311.978,73;227.041,46;733.972,07;469.919,79;555.056,86;31.483,77;89.463,69;354.723,96;351.973,78;51.707,81;79.067,87; -   ; -   ; -   ; -   ; -   ; -   ; -   ;26.535.624,77;4.413,57;171.237,70;1.533.078,60;64.062.242,48
Sek_42;44.287,02;181,81;6.742,15;83.497,70;183.607,71;152.903,90;24.743,79;41.383,38;21.263,62;30.148,77;82.830,54;23.513,92;71.119,28;141.646,37;136.802,39;90.841,38;16.230,45;101.183,45;99.948,49;77.166,77;31.016,17;43.998,94;13.201,27;415.075,94;5.203,63;34.700,19;467.410,23;217.757,11;507.250,08;322.583,48;580.592,43;63.697,76;104.290,20;95.699,06;28.374,19;116.400,51;14.576,06;14.275,02;100.912,75;24.547,05;146.708,28;1.353.461,54;24.597,93;69.965,54;57.540,76;62.120,66;28.981,44;2.492,62;10.043,56;796,95;68.285,88;3.336,71;6.243,65;40.666,54;139.314,78;45.926,45;108.123,70;4.415,81;18.553,35;26.367,29;2.794,66;24.528,84;7.860,45; -   ; -   ; -   ; -   ; -   ; -   ; -   ;4.721.443,57;623,4;19.421,16;1.248.650,58;12.874.871,05
Sek_43;22,26;2,38;0,05;36.947,67;172.779,36;47.489,00;10.019,04;16.893,07;2.062,55;2.350,16;58.841,05;3.811,50;28.593,24;53.595,21;28.992,09;27.956,26;674,26;320.006,59;31.122,89;2.282,56;4.461,75;63.625,98;1.743,23;36.297,54;2.696,68;6.027,12;75.948,57;53.102,94;371.941,04;159.764,80;64.840,40;8.599,87;140.738,90;37.249,71;8.193,37;20.700,92;18.915,75;2.889,21;60.532,85;31.299,32;204.616,63;2.676.452,08;188.676,95;70.461,26;5,39;67.526,91;8.988,96;24,28;2.828,16;10.343,20;1.695,29;1.840,38;32.821,79;11.096,05;54.207,30;91.803,14;103.101,75;1.286,53;3.779,14;13.412,17;52,23;3.769,79;22.656,35; -   ; -   ; -   ; -   ; -   ; -   ; -   ;1.956.277,86;64,49;22.184,47;298.909,74;7.862.893,45
Sek_44;73.384,54;782,07;4.234,78;132.628,96;646.374,26;2.089.302,97;66.664,25;190.430,27;309.898,74;119.281,15;237.922,11;72.664,07;388.370,90;276.186,55;230.719,69;409.812,17;40.647,93;228.214,82;303.015,11;92.921,15;39.231,81;558.388,79;71.377,38;237.982,19;10.159,01;140.377,15;1.107.400,97;806.338,88;3.531.398,95;11.374.210,52;1.254.460,88;88.351,96;163.262,13;910.213,19;455.033,97;3.762.919,77;92.976,78;237.406,58;922.381,70;195.026,42;2.168.071,39;316.548,59;329.535,23;1.672.679,76;450.354,19;585.390,87;257.165,54;40.381,18;324.652,79;96.116,62;46.017,22;39.738,89;107.481,11;421.042,85;836.105,75;737.995,09;1.424.880,92;137.291,68;132.652,59;374.280,19;146.334,28;194.140,89;470.684,18; -   ; -   ; -   ; -   ; -   ; -   ; -   ;36.982.575,42;14.598,06;21.619,27;38.498,55;80.239.188,64
Sek_45; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ; -   ;87.465.958,71; -   ; -   ; -   ;87.465.958,71
Sek_46;2.713,47;2.945,34;8.750,41;221.238,11;455.786,67;697.812,29;79.649,41;140.573,63;169.298,31;144.373,72;351.087,27;109.155,24;259.982,92;294.368,56;237.647,94;339.252,57;48.967,81;266.106,23;246.016,80;270.284,62;41.762,93;272.302,18;88.582,36;349.386,38;27.761,18;72.571,93;1.533.247,23;731.892,97;1.629.952,65;1.973.127,93;704.137,25;54.895,33;94.313,04;250.890,24;51.823,89;550.739,93;58.918,47;62.422,63;349.852,66;239.692,86;1.486.591,06;118.269,90;149.770,40;120.525,91;40.934,09;794.716,11;253.956,00;23.258,39;240.573,28;103.187,52;40.817,83;33.165,98;149.158,05;310.592,54;762.969,81;113.899,23;1.060.048,34;20.702,09;42.586,55;137.670,27;444.068,50;90.311,23;419.049,98; -   ; -   ; -   ; -   ; -   ; -   ; -   ;3.721.811,44;1.059,35;214.260,84;19.464,17;24.397.704,21
Sek_47;10.950,60;2.198,44;1.055,21;141.640,49;53.541,45;64.754,17;17.304,04;18.805,74;2.796,16;9.676,77;29.306,53;5.377,90;30.569,44;38.245,80;23.447,26;43.532,37;34.384,94;39.638,97;37.341,73;47.111,15;43.886,82;26.234,03;57.006,34;48.400,55;24.162,19;24.037,13;4.925.983,28;44.737,42;261.165,76;557.787,04;466.529,38;6.560,14;3.927,11;11.554,71;6.049,90;71.679,44;20.173,09;6.140,14;58.155,96;7.054,76;12.893,64;11.828,77;2.556,68;165.826,34;177.027,31;193.358,44;1.352.337,63;383,68;5.871,50;23.895,77;4.684,81;470,53;9.900,86;63.878,73;605.464,55;29.694,49;74.760,58;30.103,10;10.178,72;28.105,13;139.867,05;14.259,08;22.551,11; -   ; -   ; -   ; -   ; -   ; -   ; -   ;382.165,87;36.888,19;3.455.842,19;165.040,43;14.342.739,58
Sek_48;11,37;2,48;0,04;207,96;384,82;301,31;48,16;76,79;25,55;39,47;178,34;24,8;173,49;123,44;304,09;128,02;32,25;113,71;95,46;164,79;62,64;171,78;107,52;418,08;41,23;198,46;4.353,50;139,32;1.091,14;2.056,74;771,11;64,53;18,05;74,65;28,23;199,09;147,23;76,24;304,62;624,92;805,51;87,48;39,42;150,14;139,81;367,32;1.170,07;10,81;164,93;54,26;18,36;17,07;482,28;98,33;573,43;70,57;1.650,08;37,19;40,63;36,32;132,16;112,9;398,07; -   ; -   ; -   ; -   ; -   ; -   ; -   ;490,82;47.100,34;764.702,04;210,85;832.546,61
